setting,validity,proximity_cont,proximity_cat,sparsity,manifold,causality,time
0_0.99_128_0.0001_0.05,94.16342412451363,0.10593690357409555,0.06230133502860774,1.2024793388429753,0.7261308011795724,1.0,34.68294548988342
0_0.99_128_0.0001_0.2,95.3307392996109,0.13440466118110114,0.0618524332810047,1.2938775510204081,0.7555545357321349,1.0,34.91849970817566
0_0.99_256_0.0001_0.2,91.82879377431907,0.09535824595851237,0.06127770534550195,1.2033898305084745,0.7343689278342403,1.0,35.52276539802551
0_0.99_256_0.001_0.05,93.3852140077821,0.18577961049643854,0.06121794871794871,1.4375,0.7143963166591608,1.0,35.11299991607666
0_0.99_128_0.0001_0.1,94.55252918287938,0.11573612734837743,0.06046217157328267,1.2098765432098766,0.7728850492546532,1.0,35.929558992385864
10_0.99_128_0.0001_0.1,10.505836575875486,0.0,0.07692307692307693,1.0,1.02962962962963,1.0,48.06057262420654
10_0.99_256_0.001_0.05,14.396887159533074,0.011003861003861009,0.07068607068607072,1.0,0.5891891891891892,1.0,48.030431032180786
10_0.99_256_0.001_0.1,8.171206225680933,0.004081632653061229,0.08058608058608058,1.0952380952380953,0.5571428571428574,1.0,48.577479124069214
100_0.99_128_0.001_0.05,11.284046692607005,0.0446223316912972,0.07957559681697615,1.206896551724138,0.9948275862068969,1.0,45.90001678466797
0_0.99_256_0.0001_0.05,94.16342412451363,0.05651318378591105,0.07692307692307691,1.1859504132231404,0.8265871683494646,1.0,38.303834438323975
10_0.99_128_0.0001_0.2,9.727626459143968,0.1301099902375529,0.07076923076923078,1.08,0.9620000000000003,1.0,49.116883754730225
100_0.99_128_0.001_0.2,0.38910505836575876,0.0,0.07692307692307693,1.0,0.10000000000000009,1.0,51.385871171951294
100_0.99_128_0.001_0.1,19.455252918287936,0.13209523809523807,0.07230769230769232,1.22,0.7940000000000002,1.0,56.48167634010315
100_0.99_256_0.001_0.1,16.731517509727627,0.006727574750830567,0.07513416815742398,1.0465116279069768,0.6872093023255815,1.0,56.309486627578735
100_0.99_256_0.001_0.05,0.38910505836575876,0.0,0.07692307692307693,1.0,0.05,1.0,57.20435357093811
100_0.99_128_0.0001_0.2,42.4124513618677,0.0,0.07904022582921663,1.0275229357798166,0.6385321100917434,1.0,55.790865659713745
100_0.99_128_0.0001_0.05,29.961089494163424,0.16130179344465065,0.03496503496503497,1.0389610389610389,0.544805194805195,1.0,59.30386781692505
100_0.99_256_0.0001_0.1,23.735408560311285,0.0,0.07692307692307691,1.0,0.6795081967213116,1.0,61.52821469306946
100_0.99_128_0.0001_0.1,29.961089494163424,0.17727272727272736,0.0,1.0,0.8272727272727273,1.0,62.3680145740509
100_0.99_256_0.0001_0.2,26.070038910505836,0.9948029782749127,0.0,1.0,0.8410447761194031,1.0,63.40252089500427
100_0.99_256_0.0001_0.05,12.84046692607004,0.3476768334171525,0.0,1.0,0.293939393939394,1.0,65.59542751312256
100_0.99_256_0.001_0.2,5.447470817120623,0.1456508298080052,0.06593406593406592,1.1428571428571428,0.6607142857142858,1.0,68.1504545211792
